Ligne (ID);Ligne (nom court);Code du sens;Destination;Point d'arrêt (ID);Point d'arrêt (nom);Coordonnées;Arrivée;Départ;Précision
1001;a;1;J.F. Kennedy;5024;Jacques Cartier;48.097605,-1.675419;2021-03-03T23:35:37+01:00;2021-03-03T23:35:51+01:00;Applicable
1001;a;1;J.F. Kennedy;5021;République;48.109712,-1.679138;2021-03-03T23:07:48+01:00;2021-03-03T23:08:11+01:00;Applicable
1001;a;1;J.F. Kennedy;5020;Sainte-Anne;48.114501,-1.680398;2021-03-03T23:58:36+01:00;2021-03-03T23:58:55+01:00;Applicable
1001;a;1;J.F. Kennedy;5024;Jacques Cartier;48.097605,-1.675419;2021-03-03T23:58:07+01:00;2021-03-03T23:58:21+01:00;Applicable
1001;a;1;J.F. Kennedy;5021;République;48.109712,-1.679138;2021-03-03T23:12:18+01:00;2021-03-03T23:12:41+01:00;Applicable
1001;a;1;J.F. Kennedy;5020;Sainte-Anne;48.114501,-1.680398;2021-03-04T00:12:38+01:00;2021-03-04T00:12:57+01:00;Applicable
1001;a;1;J.F. Kennedy;5025;Clemenceau;48.093653,-1.674394;2021-03-03T22:49:33+01:00;2021-03-03T22:49:48+01:00;Applicable
1001;a;1;J.F. Kennedy;5021;République;48.109712,-1.679138;2021-03-03T23:16:48+01:00;2021-03-03T23:17:11+01:00;Applicable
1001;a;1;J.F. Kennedy;5020;Sainte-Anne;48.114501,-1.680398;2021-03-04T00:27:18+01:00;2021-03-04T00:27:37+01:00;Applicable
1001;a;1;J.F. Kennedy;5025;Clemenceau;48.093653,-1.674394;2021-03-03T23:12:03+01:00;2021-03-03T23:12:18+01:00;Applicable
1001;a;1;J.F. Kennedy;5021;République;48.109712,-1.679138;2021-03-03T23:43:48+01:00;2021-03-03T23:44:11+01:00;Applicable
1001;a;1;J.F. Kennedy;5020;Sainte-Anne;48.114501,-1.680398;2021-03-04T00:40:48+01:00;2021-03-04T00:41:07+01:00;Applicable
1001;a;1;J.F. Kennedy;5025;Clemenceau;48.093653,-1.674394;2021-03-03T23:16:33+01:00;2021-03-03T23:16:48+01:00;Applicable
1001;a;1;J.F. Kennedy;5021;République;48.109712,-1.679138;2021-03-03T23:48:18+01:00;2021-03-03T23:48:41+01:00;Applicable
1001;a;1;J.F. Kennedy;5021;République;48.109712,-1.679138;2021-03-03T22:40:48+01:00;2021-03-03T22:41:11+01:00;Applicable
1001;a;1;J.F. Kennedy;5025;Clemenceau;48.093653,-1.674394;2021-03-03T23:21:03+01:00;2021-03-03T23:21:18+01:00;Applicable
1001;a;1;J.F. Kennedy;5021;République;48.109712,-1.679138;2021-03-03T23:52:48+01:00;2021-03-03T23:53:11+01:00;Applicable
1001;a;1;J.F. Kennedy;5021;République;48.109712,-1.679138;2021-03-03T22:45:18+01:00;2021-03-03T22:45:41+01:00;Applicable
1001;a;1;J.F. Kennedy;5025;Clemenceau;48.093653,-1.674394;2021-03-03T23:30:03+01:00;2021-03-03T23:30:18+01:00;Applicable
1001;a;1;J.F. Kennedy;5021;République;48.109712,-1.679138;2021-03-04T00:01:48+01:00;2021-03-04T00:02:11+01:00;Applicable
1001;a;1;J.F. Kennedy;5021;République;48.109712,-1.679138;2021-03-03T22:54:18+01:00;2021-03-03T22:54:41+01:00;Applicable
